record_id,year,AverageTemperatureFahr,AverageTemperatureUncertaintyFahr,City,Country
474446,1858,57.254,36.608,Auckland,New Zealand
474447,1858,62.276,34.5866,Auckland,New Zealand
474448,1859,64.5872,34.0592,Auckland,New Zealand
474449,1859,65.4764,33.8522,Auckland,New Zealand
474450,1859,63.0788,35.7314,Auckland,New Zealand
474451,1859,61.016,34.7756,Auckland,New Zealand
474452,1859,57.407,34.8746,Auckland,New Zealand
474453,1859,54.3794,34.5668,NA,NA
474454,1859,52.7036,33.2924,Auckland,New Zealand
474455,1859,51.89,34.349,Auckland,New Zealand
474456,1859,52.3202,33.5084,Auckland,New Zealand
474457,1859,57.3152,34.0232,Auckland,New Zealand
474458,1859,58.595,35.1392,Auckland,New Zealand
474459,1859,61.4156,35.3012,Auckland,New Zealand
474460,1860,65.2388,36.3524,Auckland,New Zealand
474461,1860,65.804,35.2274,Auckland,New Zealand
474462,1860,63.7088,35.357,Auckland,New Zealand
474463,1860,62.105,34.133,Auckland,New Zealand
474464,1860,58.3124,33.386,Auckland,New Zealand
474465,1860,55.3352,34.844,Auckland,New Zealand
474466,1860,52.6028,33.6146,Auckland,New Zealand
474467,1860,51.4688,35.2436,Auckland,New Zealand
474468,1860,52.9808,33.818,Auckland,New Zealand
474469,1860,55.7942,33.3032,Auckland,New Zealand
474470,1860,60.0872,35.5496,Auckland,New Zealand
474471,1860,64.9634,40.3448,Auckland,New Zealand
474472,1861,63.9734,36.6116,Auckland,New Zealand
474473,1861,68.9846,38.003,Auckland,New Zealand
474474,1861,65.6078,34.7774,Auckland,New Zealand
474475,1861,63.0572,36.1778,Auckland,New Zealand
474476,1861,60.3302,36.32,Auckland,New Zealand
474477,1861,57.7382,36.41,Auckland,New Zealand
474478,1861,54.6116,34.3418,Auckland,New Zealand
474479,1861,52.3562,33.413,Auckland,New Zealand
474480,1861,55.2866,34.3436,Auckland,New Zealand
474481,1861,58.3754,36.2282,Auckland,New Zealand
474482,1861,60.6596,35.3714,Auckland,New Zealand
474483,1861,64.2272,34.8206,NA,NA
474484,1862,64.283,35.9618,NA,NA
474485,1862,68.4356,37.9508,Auckland,New Zealand
474486,1862,65.9192,36.2732,Auckland,New Zealand
474487,1862,62.0546,36.869,Auckland,New Zealand
474488,1862,57.542,34.5362,Auckland,New Zealand
474489,1862,54.3596,34.5884,Auckland,New Zealand
474490,1862,54.4784,36.6296,Auckland,New Zealand
474491,1862,53.5118,35.1788,Auckland,New Zealand
474492,1862,56.0588,36.2642,Auckland,New Zealand
474493,1862,55.9904,35.0258,Auckland,New Zealand
474494,1862,60.6974,36.176,Auckland,New Zealand
474495,1862,62.2904,36.2318,Auckland,New Zealand
474496,1863,65.9498,35.8754,Auckland,New Zealand
474497,1863,64.2596,38.1938,Auckland,New Zealand
474498,1863,63.6476,33.4778,Auckland,New Zealand
474499,1863,58.6634,36.4208,Auckland,New Zealand
474500,1863,57.0434,34.9592,Auckland,New Zealand
474501,1863,54.113,35.0888,Auckland,New Zealand
474502,1863,52.7378,36.473,Auckland,New Zealand
474503,1863,50.9648,36.4622,Auckland,New Zealand
474504,1863,51.998,35.0942,Auckland,New Zealand
474505,1863,55.1426,36.4136,Auckland,New Zealand
474506,1863,55.328,36.9932,Auckland,New Zealand
474507,1863,59.7524,34.1114,Auckland,New Zealand
474508,1864,67.3232,34.5272,Auckland,New Zealand
474509,1864,68.0738,38.0174,Auckland,New Zealand
474510,1864,64.0526,35.2328,Auckland,New Zealand
474511,1864,63.0752,36.8744,Auckland,New Zealand
474512,1864,58.01,35.1392,Auckland,New Zealand
474513,1864,55.0634,34.2806,Auckland,New Zealand
474514,1864,55.4144,33.89,Auckland,New Zealand
474515,1864,50.7146,35.4272,Auckland,New Zealand
474516,1864,55.904,35.0474,Auckland,New Zealand
474517,1864,58.3358,34.0502,Auckland,New Zealand
474518,1864,61.8296,35.3516,Auckland,New Zealand
474519,1864,66.3548,35.699,Auckland,New Zealand
474520,1865,66.8336,34.2896,Auckland,New Zealand
474521,1865,67.5932,34.3958,Auckland,New Zealand
474522,1865,65.3756,33.53,Auckland,New Zealand
474523,1865,61.6586,34.1438,Auckland,New Zealand
474524,1865,56.867,34.1672,Auckland,New Zealand
474525,1865,53.8502,34.538,Auckland,New Zealand
474526,1865,52.3886,34.0268,Auckland,New Zealand
474527,1865,52.124,33.6254,Auckland,New Zealand
474528,1865,54.1544,33.35,Auckland,New Zealand
474529,1865,55.0238,33.6866,Auckland,New Zealand
474530,1865,59.4608,33.6542,Auckland,New Zealand
474531,1865,61.8836,34.5542,Auckland,New Zealand
474532,1866,66.3566,34.7252,Auckland,New Zealand
474533,1866,68.846,35.87,Auckland,New Zealand
474534,1866,66.1676,37.0598,Auckland,New Zealand
474535,1866,61.5794,33.9728,Auckland,New Zealand
474536,1866,57.812,35.6576,Auckland,New Zealand
474537,1866,53.7026,33.3356,Auckland,New Zealand
474538,1866,54.5684,35.5928,Auckland,New Zealand
474539,1866,54.6854,35.4722,Auckland,New Zealand
474540,1866,56.7734,34.8548,Auckland,New Zealand
474541,1866,59.3294,35.5748,Auckland,New Zealand
474542,1866,63.3092,36.5792,Auckland,New Zealand
474543,1866,66.191,33.9656,Auckland,New Zealand
474544,1867,68.5094,33.8522,Auckland,New Zealand
474545,1867,66.992,33.7244,Auckland,New Zealand
474546,1867,64.5098,34.1978,Auckland,New Zealand
474547,1867,62.7998,34.169,Auckland,New Zealand
474548,1867,57.4934,33.1286,Auckland,New Zealand
474549,1867,52.9466,33.1952,Auckland,New Zealand
474550,1867,54.6908,33.7262,Auckland,New Zealand
474551,1867,52.8314,33.9566,Auckland,New Zealand
474552,1867,55.5782,33.3356,Auckland,New Zealand
474553,1867,57.209,33.1304,Auckland,New Zealand
474554,1867,57.3314,36.9788,Auckland,New Zealand
474555,1867,63.041,34.8782,Auckland,New Zealand
474556,1868,63.7088,33.5264,Auckland,New Zealand
474557,1868,62.9726,35.492,Auckland,New Zealand
474558,1868,63.3146,34.3634,Auckland,New Zealand
474559,1868,60.2762,35.9942,Auckland,New Zealand
474560,1868,56.8994,34.4786,Auckland,New Zealand
474561,1868,54.005,33.782,Auckland,New Zealand
474562,1868,53.5982,34.1078,Auckland,New Zealand
474563,1868,52.052,33.4994,Auckland,New Zealand
474564,1868,53.7008,33.3518,Auckland,New Zealand
474565,1868,55.3118,33.566,Auckland,New Zealand
474566,1868,58.5104,34.1096,Auckland,New Zealand
474567,1868,60.7874,34.1708,Auckland,New Zealand
474568,1869,64.7744,36.3254,Auckland,New Zealand
474569,1869,65.1074,36.3668,Auckland,New Zealand
474570,1869,63.2642,33.8342,Auckland,New Zealand
474571,1869,61.1204,34.7054,Auckland,New Zealand
474572,1869,56.66,33.5678,Auckland,New Zealand
474573,1869,54.8294,33.935,Auckland,New Zealand
474574,1869,51.449,33.2942,Auckland,New Zealand
474575,1869,52.9124,33.3734,Auckland,New Zealand
474576,1869,53.8574,33.1178,Auckland,New Zealand
474577,1869,55.9886,33.7802,Auckland,New Zealand
474578,1869,59.4338,33.0458,Auckland,New Zealand
474579,1869,62.9906,35.015,Auckland,New Zealand
474580,1870,65.3702,33.7406,Auckland,New Zealand
474581,1870,65.9174,34.394,Auckland,New Zealand
474582,1870,64.382,33.9476,Auckland,New Zealand
474583,1870,60.0296,34.0466,Auckland,New Zealand
474584,1870,57.7994,33.98,Auckland,New Zealand
474585,1870,56.1974,33.9854,Auckland,New Zealand
474586,1870,53.3066,33.4436,Auckland,New Zealand
474587,1870,52.9034,33.107,Auckland,New Zealand
474588,1870,54.1166,33.6362,Auckland,New Zealand
474589,1870,57.0704,33.728,Auckland,New Zealand
474590,1870,61.1492,34.7918,Auckland,New Zealand
474591,1870,59.1656,34.3742,Auckland,New Zealand
474592,1871,62.915,34.3184,Auckland,New Zealand
474593,1871,64.0076,35.1644,Auckland,New Zealand
474594,1871,63.338,33.8234,Auckland,New Zealand
474595,1871,59.6606,33.6416,Auckland,New Zealand
474596,1871,58.2116,33.0944,Auckland,New Zealand
474597,1871,54.77,32.9648,Auckland,New Zealand
474598,1871,54.1724,32.981,Auckland,New Zealand
474599,1871,52.556,33.3392,Auckland,New Zealand
474600,1871,53.0798,33.1142,Auckland,New Zealand
474601,1871,55.9292,33.872,NA,NA
474602,1871,58.5752,33.692,Auckland,New Zealand
474603,1871,61.3958,33.7352,Auckland,New Zealand
474604,1872,66.4898,36.6854,Auckland,New Zealand
474605,1872,68.0234,34.6784,Auckland,New Zealand
474606,1872,64.1642,33.9134,Auckland,New Zealand
474607,1872,61.9844,35.069,Auckland,New Zealand
474608,1872,59.2718,33.6362,Auckland,New Zealand
474609,1872,55.184,33.908,Auckland,New Zealand
474610,1872,54.005,33.674,Auckland,New Zealand
474611,1872,51.9728,33.9512,Auckland,New Zealand
474612,1872,54.725,33.2042,Auckland,New Zealand
474613,1872,55.328,33.4904,Auckland,New Zealand
474614,1872,60.125,33.7838,Auckland,New Zealand
474615,1872,65.6204,35.3786,Auckland,New Zealand
474616,1873,64.2056,34.1366,Auckland,New Zealand
474617,1873,64.6934,33.4868,Auckland,New Zealand
474618,1873,64.9202,33.8072,Auckland,New Zealand
474619,1873,60.161,35.1158,Auckland,New Zealand
474620,1873,58.3592,33.4724,Auckland,New Zealand
474621,1873,55.4774,33.1826,Auckland,New Zealand
474622,1873,52.6298,33.2186,Auckland,New Zealand
474623,1873,53.3606,32.801,Auckland,New Zealand
474624,1873,54.2048,33.809,Auckland,New Zealand
474625,1873,56.3846,33.5138,Auckland,New Zealand
474626,1873,59.3672,33.1106,Auckland,New Zealand
474627,1873,63.9068,33.4904,Auckland,New Zealand
474628,1874,66.3242,34.8296,Auckland,New Zealand
474629,1874,66.3098,34.2734,Auckland,New Zealand
474630,1874,65.3252,34.5434,Auckland,New Zealand
474631,1874,61.0412,33.8036,Auckland,New Zealand
474632,1874,57.8102,33.9134,Auckland,New Zealand
474633,1874,54.1598,34.3436,Auckland,New Zealand
474634,1874,52.1906,33.3482,Auckland,New Zealand
474635,1874,53.7998,33.026,Auckland,New Zealand
474636,1874,54.9284,32.8478,Auckland,New Zealand
474637,1874,54.9644,33.0224,Auckland,New Zealand
474638,1874,59.0234,33.2366,Auckland,New Zealand
474639,1874,61.88,33.7172,Auckland,New Zealand
474640,1875,64.58,33.6434,Auckland,New Zealand
474641,1875,66.9002,34.2158,Auckland,New Zealand
474642,1875,64.328,33.3932,Auckland,New Zealand
474643,1875,63.2516,33.9026,Auckland,New Zealand
474644,1875,58.1936,33.4238,Auckland,New Zealand
474645,1875,55.283,33.7712,Auckland,New Zealand
474646,1875,54.3596,33.5912,Auckland,New Zealand
474647,1875,52.3022,32.8604,Auckland,New Zealand
474648,1875,52.7882,33.1052,Auckland,New Zealand
474649,1875,55.8266,33.0854,Auckland,New Zealand
474650,1875,57.7958,33.8144,Auckland,New Zealand
474651,1875,63.6638,33.6596,Auckland,New Zealand
474652,1876,65.3684,33.764,Auckland,New Zealand
474653,1876,66.191,33.6992,Auckland,New Zealand
474654,1876,65.5322,33.7802,Auckland,New Zealand
474655,1876,61.9322,33.7154,Auckland,New Zealand
474656,1876,58.2872,33.188,Auckland,New Zealand
474657,1876,55.0526,34.5218,Auckland,New Zealand
474658,1876,53.9006,33.9188,Auckland,New Zealand
474659,1876,53.2256,33.4616,Auckland,New Zealand
474660,1876,54.5594,32.7956,Auckland,New Zealand
474661,1876,58.4798,33.4634,Auckland,New Zealand
474662,1876,60.8378,33.9296,Auckland,New Zealand
474663,1876,61.7522,34.5758,Auckland,New Zealand
474664,1877,64.5638,34.5128,Auckland,New Zealand
474665,1877,65.4908,34.7774,Auckland,New Zealand
474666,1877,64.9724,33.3734,Auckland,New Zealand
474667,1877,59.9396,34.2932,Auckland,New Zealand
474668,1877,56.6096,33.3482,Auckland,New Zealand
474669,1877,54.2228,34.8152,Auckland,New Zealand
474670,1877,51.7082,33.215,Auckland,New Zealand
474671,1877,53.0798,33.8036,Auckland,New Zealand
474672,1877,53.4452,33.1988,Auckland,New Zealand
474673,1877,56.5988,33.5372,Auckland,New Zealand
474674,1877,59.7758,33.6866,Auckland,New Zealand
474675,1877,61.889,35.7062,Auckland,New Zealand
474676,1878,62.4236,34.3778,Auckland,New Zealand
474677,1878,63.1724,35.1212,Auckland,New Zealand
474678,1878,64.0778,34.2644,Auckland,New Zealand
474679,1878,62.186,33.9962,Auckland,New Zealand
474680,1878,56.1326,34.052,Auckland,New Zealand
474681,1878,55.4378,33.7982,Auckland,New Zealand
474682,1878,52.4426,33.5354,Auckland,New Zealand
474683,1878,51.7064,33.5192,Auckland,New Zealand
474684,1878,56.057,33.692,Auckland,New Zealand
474685,1878,56.237,33.4418,Auckland,New Zealand
474686,1878,60.3158,34.2428,Auckland,New Zealand
474687,1878,64.8428,34.4606,Auckland,New Zealand
474688,1879,64.2218,33.7712,Auckland,New Zealand
474689,1879,63.4064,33.9836,Auckland,New Zealand
474690,1879,64.6448,33.1502,Auckland,New Zealand
474691,1879,58.9316,34.4192,Auckland,New Zealand
474692,1879,58.8992,34.0988,Auckland,New Zealand
474693,1879,54.2822,33.449,Auckland,New Zealand
474694,1879,52.457,33.8054,Auckland,New Zealand
474695,1879,52.3832,33.4094,Auckland,New Zealand
474696,1879,55.8914,33.341,Auckland,New Zealand
474697,1879,56.2028,33.3374,Auckland,New Zealand
474698,1879,60.5894,33.4724,Auckland,New Zealand
474699,1879,62.8142,33.5606,Auckland,New Zealand
474700,1880,65.156,34.0232,Auckland,New Zealand
474701,1880,67.4546,33.9008,Auckland,New Zealand
474702,1880,65.849,33.476,Auckland,New Zealand
474703,1880,62.5262,33.8288,Auckland,New Zealand
474704,1880,58.9658,33.2708,Auckland,New Zealand
474705,1880,54.149,33.2654,Auckland,New Zealand
474706,1880,53.447,33.6704,Auckland,New Zealand
474707,1880,52.9862,33.6758,Auckland,New Zealand
474708,1880,55.6736,33.305,Auckland,New Zealand
474709,1880,56.372,34.0718,Auckland,New Zealand
474710,1880,60.2996,34.7792,Auckland,New Zealand
474711,1880,61.88,34.1312,Auckland,New Zealand
474712,1881,62.8358,34.475,Auckland,New Zealand
474713,1881,66.5078,33.6884,Auckland,New Zealand
474714,1881,65.1218,33.485,Auckland,New Zealand
474715,1881,62.3894,33.3518,Auckland,New Zealand
474716,1881,58.1054,33.9026,Auckland,New Zealand
474717,1881,55.724,34.5056,Auckland,New Zealand
474718,1881,53.7368,33.152,Auckland,New Zealand
474719,1881,53.5478,33.233,Auckland,New Zealand
474720,1881,54.7124,33.053,Auckland,New Zealand
474721,1881,56.4116,33.2996,Auckland,New Zealand
474722,1881,59.909,35.2616,Auckland,New Zealand
474723,1881,61.3328,34.25,Auckland,New Zealand
474724,1882,63.95,34.421,Auckland,New Zealand
474725,1882,64.0076,33.989,Auckland,New Zealand
474726,1882,65.8814,33.2366,Auckland,New Zealand
474727,1882,62.3336,33.485,Auckland,New Zealand
474728,1882,56.9372,33.4796,Auckland,New Zealand
474729,1882,55.7726,33.5336,Auckland,New Zealand
474730,1882,53.2382,33.0746,Auckland,New Zealand
474731,1882,52.5848,33.9098,NA,NA
474732,1882,55.3298,32.9594,Auckland,New Zealand
474733,1882,55.2326,33.0278,Auckland,New Zealand
474734,1882,57.9938,33.6866,Auckland,New Zealand
474735,1882,63.0734,33.3212,Auckland,New Zealand
474736,1883,66.4988,34.4948,Auckland,New Zealand
474737,1883,67.5698,33.9692,Auckland,New Zealand
474738,1883,66.0056,34.2698,Auckland,New Zealand
474739,1883,59.7668,32.9648,Auckland,New Zealand
474740,1883,57.5726,33.062,Auckland,New Zealand
474741,1883,54.7052,32.9018,Auckland,New Zealand
474742,1883,53.186,33.6614,Auckland,New Zealand
474743,1883,52.3112,34.3544,Auckland,New Zealand
474744,1883,53.465,33.9566,Auckland,New Zealand
474745,1883,55.049,32.7866,Auckland,New Zealand
474746,1883,57.3908,32.9594,Auckland,New Zealand
474747,1883,60.1736,33.4454,Auckland,New Zealand
474748,1884,60.395,34.637,Auckland,New Zealand
474749,1884,62.1914,35.8142,Auckland,New Zealand
474750,1884,62.2904,34.0322,Auckland,New Zealand
474751,1884,59,33.2168,Auckland,New Zealand
474752,1884,55.1102,32.855,Auckland,New Zealand
474753,1884,54.2336,32.9684,Auckland,New Zealand
474754,1884,52.961,32.6912,Auckland,New Zealand
474755,1884,53.8376,33.0566,Auckland,New Zealand
474756,1884,54.1688,33.5354,Auckland,New Zealand
474757,1884,55.6142,33.8342,Auckland,New Zealand
474758,1884,57.0794,32.8802,Auckland,New Zealand
474759,1884,60.629,34.5164,Auckland,New Zealand
474760,1885,62.4416,33.3176,Auckland,New Zealand
474761,1885,64.7294,33.5138,Auckland,New Zealand
474762,1885,63.32,35.0942,Auckland,New Zealand
474763,1885,59.3492,33.0008,Auckland,New Zealand
474764,1885,56.7068,33.098,Auckland,New Zealand
474765,1885,55.1498,32.7578,Auckland,New Zealand
474766,1885,53.8214,34.3634,Auckland,New Zealand
474767,1885,52.322,33.8954,Auckland,New Zealand
474768,1885,53.7494,33.7946,Auckland,New Zealand
474769,1885,55.1138,33.0242,Auckland,New Zealand
474770,1885,58.1846,33.7154,Auckland,New Zealand
474771,1885,61.4156,34.196,Auckland,New Zealand
474772,1886,65.1902,35.8088,Auckland,New Zealand
474773,1886,67.172,33.5732,Auckland,New Zealand
474774,1886,64.6844,33.2906,Auckland,New Zealand
474775,1886,62.0294,33.7388,Auckland,New Zealand
474776,1886,57.2702,33.0404,Auckland,New Zealand
474777,1886,53.006,32.7686,Auckland,New Zealand
474778,1886,51.4418,33.1556,Auckland,New Zealand
474779,1886,52.5488,34.3598,Auckland,New Zealand
474780,1886,53.1788,32.774,Auckland,New Zealand
474781,1886,55.5548,33.872,Auckland,New Zealand
474782,1886,59.3492,34.322,Auckland,New Zealand
474783,1886,61.0826,34.1402,Auckland,New Zealand
474784,1887,67.6958,34.826,Auckland,New Zealand
474785,1887,67.2818,35.4812,Auckland,New Zealand
474786,1887,66.1226,33.6758,Auckland,New Zealand
474787,1887,62.3516,33.9314,Auckland,New Zealand
474788,1887,57.398,34.1564,Auckland,New Zealand
474789,1887,55.4756,33.6506,Auckland,New Zealand
474790,1887,53.2598,33.5732,Auckland,New Zealand
474791,1887,50.8226,33.1574,Auckland,New Zealand
474792,1887,53.4272,32.9504,Auckland,New Zealand
474793,1887,55.382,33.1016,Auckland,New Zealand
474794,1887,57.407,33.6146,Auckland,New Zealand
474795,1887,60.476,33.359,Auckland,New Zealand
474796,1888,63.2462,34.6622,Auckland,New Zealand
474797,1888,62.6252,34.1042,Auckland,New Zealand
474798,1888,63.0212,34.4462,Auckland,New Zealand
474799,1888,58.7786,33.917,Auckland,New Zealand
474800,1888,56.9876,33.575,Auckland,New Zealand
474801,1888,53.8592,34.178,Auckland,New Zealand
474802,1888,53.2688,33.2006,Auckland,New Zealand
474803,1888,54.0266,33.3356,Auckland,New Zealand
474804,1888,53.6252,33.1952,Auckland,New Zealand
474805,1888,55.4774,34.0286,Auckland,New Zealand
474806,1888,56.2874,33.2672,Auckland,New Zealand
474807,1888,58.3574,35.0222,Auckland,New Zealand
474808,1889,65.3126,33.3248,Auckland,New Zealand
474809,1889,65.6438,33.3086,Auckland,New Zealand
474810,1889,63.7178,33.3356,Auckland,New Zealand
474811,1889,60.4274,33.4274,Auckland,New Zealand
474812,1889,57.5258,33.0242,Auckland,New Zealand
474813,1889,54.7448,35.06,Auckland,New Zealand
474814,1889,53.1392,33.9512,Auckland,New Zealand
474815,1889,52.8134,33.5516,Auckland,New Zealand
474816,1889,55.904,34.7684,Auckland,New Zealand
474817,1889,56.8202,33.5462,Auckland,New Zealand
474818,1889,58.8074,34.1222,Auckland,New Zealand
474819,1889,62.6936,33.6038,Auckland,New Zealand
474820,1890,62.3732,33.5552,Auckland,New Zealand
474821,1890,66.074,34.3382,Auckland,New Zealand
474822,1890,64.013,33.5984,Auckland,New Zealand
474823,1890,62.0564,33.593,Auckland,New Zealand
474824,1890,57.182,33.9818,Auckland,New Zealand
474825,1890,55.7168,33.9116,Auckland,New Zealand
474826,1890,53.6972,33.9062,Auckland,New Zealand
474827,1890,53.2256,33.1592,Auckland,New Zealand
474828,1890,55.103,33.062,Auckland,New Zealand
474829,1890,57.722,33.3302,Auckland,New Zealand
474830,1890,58.2656,33.314,Auckland,New Zealand
474831,1890,62.8574,33.584,Auckland,New Zealand
474832,1891,63.7664,33.1358,Auckland,New Zealand
474833,1891,65.4764,34.2536,Auckland,New Zealand
474834,1891,63.6818,33.0008,Auckland,New Zealand
474835,1891,59.8388,33.962,Auckland,New Zealand
474836,1891,56.2838,33.0152,Auckland,New Zealand
474837,1891,51.6722,33.4832,Auckland,New Zealand
474838,1891,51.9278,33.008,Auckland,New Zealand
474839,1891,53.087,33.2384,Auckland,New Zealand
474840,1891,55.0886,33.1358,NA,NA
474841,1891,56.4242,33.368,Auckland,New Zealand
474842,1891,59.2664,33.1574,Auckland,New Zealand
474843,1891,64.3118,33.4238,Auckland,New Zealand
474844,1892,64.4414,33.3716,Auckland,New Zealand
474845,1892,65.2874,33.4364,Auckland,New Zealand
474846,1892,65.813,35.0834,Auckland,New Zealand
474847,1892,62.0924,34.2824,Auckland,New Zealand
474848,1892,57.3224,33.1664,Auckland,New Zealand
474849,1892,54.6674,33.2258,Auckland,New Zealand
474850,1892,52.7342,33.3284,Auckland,New Zealand
474851,1892,54.3722,33.0314,Auckland,New Zealand
474852,1892,54.4604,33.1178,Auckland,New Zealand
474853,1892,56.6384,33.3842,Auckland,New Zealand
474854,1892,61.5326,33.5462,Auckland,New Zealand
474855,1892,61.3796,34.448,Auckland,New Zealand
474856,1893,64.8392,33.2438,Auckland,New Zealand
474857,1893,65.5826,33.4076,Auckland,New Zealand
474858,1893,61.736,33.3536,Auckland,New Zealand
474859,1893,61.6892,33.2348,Auckland,New Zealand
474860,1893,59.5076,33.575,Auckland,New Zealand
474861,1893,54.7988,33.8648,Auckland,New Zealand
474862,1893,54.0212,33.7064,Auckland,New Zealand
474863,1893,55.1912,33.2906,Auckland,New Zealand
474864,1893,55.8158,33.323,Auckland,New Zealand
474865,1893,58.3538,33.728,Auckland,New Zealand
474866,1893,62.6162,34.2554,Auckland,New Zealand
474867,1893,61.9214,33.1844,Auckland,New Zealand
474868,1894,66.4952,32.9522,Auckland,New Zealand
474869,1894,66.461,33.6056,Auckland,New Zealand
474870,1894,63.9932,33.9674,Auckland,New Zealand
474871,1894,59.6714,33.5588,Auckland,New Zealand
474872,1894,57.263,33.5066,Auckland,New Zealand
474873,1894,54.8618,33.584,Auckland,New Zealand
474874,1894,52.8008,34.3616,Auckland,New Zealand
474875,1894,52.4282,34.1798,Auckland,New Zealand
474876,1894,53.5262,33.1538,Auckland,New Zealand
474877,1894,56.4746,33.404,Auckland,New Zealand
474878,1894,59.369,33.629,Auckland,New Zealand
474879,1894,64.4774,33.3734,Auckland,New Zealand
474880,1895,66.3926,33.296,Auckland,New Zealand
474881,1895,66.1892,33.0674,Auckland,New Zealand
474882,1895,64.0562,33.1322,Auckland,New Zealand
474883,1895,59.576,33.4922,Auckland,New Zealand
474884,1895,57.3242,32.9144,Auckland,New Zealand
474885,1895,54.284,32.8946,Auckland,New Zealand
474886,1895,49.856,33.2582,Auckland,New Zealand
474887,1895,51.0422,33.2438,Auckland,New Zealand
474888,1895,54.653,33.008,Auckland,New Zealand
474889,1895,56.255,32.999,Auckland,New Zealand
474890,1895,57.6788,33.6164,Auckland,New Zealand
474891,1895,63.6314,33.3878,Auckland,New Zealand
474892,1896,65.2532,33.0458,Auckland,New Zealand
474893,1896,65.0732,34.8062,Auckland,New Zealand
474894,1896,65.5088,33.4364,Auckland,New Zealand
474895,1896,61.5632,33.3122,Auckland,New Zealand
474896,1896,57.5402,33.4202,Auckland,New Zealand
474897,1896,55.5926,33.3032,Auckland,New Zealand
474898,1896,53.402,33.2456,Auckland,New Zealand
474899,1896,51.9332,33.575,Auckland,New Zealand
